=================================================================
=== Medicion de Energia Raspberry Pi 5 Iniciada ===
=================================================================
Etiqueta:        Qiime2_c001_808
Intervalo:       1.0 s
Metodo telemetria: Modelo Dinamico Calibrado (hwmon + CPU)
Archivo de salida: energia_Qiime2_c001_808_20260909_140042.csv
Presiona Ctrl+C para detener la medicion cuando el proceso finalice.


[2026-09-09 14:01:40.600] [HWMON] CPU:  24.8% | Temp: 50.1C | Power:  3.97 W | Energia: 0.0637 Wh | Muestras: 58
[2026-09-09 14:01:41.600] [HWMON] CPU:  25.4% | Temp: 50.7C | Power:  4.00 W | Energia: 0.0648 Wh | Muestras: 59
[2026-09-09 14:01:42.601] [HWMON] CPU:  24.8% | Temp: 51.8C | Power:  3.99 W | Energia: 0.0659 Wh | Muestras: 60
[2026-09-09 14:01:43.601] [HWMON] CPU:  25.0% | Temp: 51.2C | Power:  3.99 W | Energia: 0.0670 Wh | Muestras: 61
[2026-09-09 14:01:45.205] [HWMON] CPU:  25.4% | Temp: 50.7C | Power:  4.00 W | Energia: 0.0688 Wh | Muestras: 62
[2026-09-09 14:01:46.205] [HWMON] CPU:  25.1% | Temp: 52.4C | Power:  4.01 W | Energia: 0.0699 Wh | Muestras: 63
[2026-09-09 14:01:47.206] [HWMON] CPU:  25.5% | Temp: 50.7C | Power:  4.01 W | Energia: 0.0710 Wh | Muestras: 64
[2026-09-09 14:01:48.206] [HWMON] CPU:  25.0% | Temp: 51.2C | Power:  3.99 W | Energia: 0.0721 Wh | Muestras: 65
[2026-09-09 14:01:49.207] [HWMON] CPU:  25.0% | Temp: 51.8C | Power:  4.00 W | Energia: 0.0732 Wh | Muestras: 66
[2026-09-09 14:01:50.207] [HWMON] CPU:  25.0% | Temp: 51.8C | Power:  4.00 W | Energia: 0.0743 Wh | Muestras: 67
[2026-09-09 14:01:51.207] [HWMON] CPU:  25.0% | Temp: 50.7C | Power:  3.99 W | Energia: 0.0754 Wh | Muestras: 68
[2026-09-09 14:01:52.208] [HWMON] CPU:  25.0% | Temp: 51.2C | Power:  3.99 W | Energia: 0.0766 Wh | Muestras: 69
[2026-09-09 14:01:53.208] [HWMON] CPU:  25.2% | Temp: 50.1C | Power:  3.99 W | Energia: 0.0777 Wh | Muestras: 70
[2026-09-09 14:01:54.208] [HWMON] CPU:  25.0% | Temp: 51.8C | Power:  4.00 W | Energia: 0.0788 Wh | Muestras: 71
[2026-09-09 14:01:55.209] [HWMON] CPU:  24.8% | Temp: 50.7C | Power:  3.98 W | Energia: 0.0799 Wh | Muestras: 72
[2026-09-09 14:01:56.209] [HWMON] CPU:  26.4% | Temp: 50.7C | Power:  4.06 W | Energia: 0.0810 Wh | Muestras: 73
[2026-09-09 14:01:57.210] [HWMON] CPU:  25.1% | Temp: 51.2C | Power:  4.00 W | Energia: 0.0821 Wh | Muestras: 74
[2026-09-09 14:01:58.210] [HWMON] CPU:  25.4% | Temp: 50.1C | Power:  4.00 W | Energia: 0.0832 Wh | Muestras: 75
[2026-09-09 14:01:59.210] [HWMON] CPU:  25.2% | Temp: 51.2C | Power:  4.00 W | Energia: 0.0843 Wh | Muestras: 76
[2026-09-09 14:02:00.211] [HWMON] CPU:  25.1% | Temp: 51.8C | Power:  4.01 W | Energia: 0.0855 Wh | Muestras: 77
[2026-09-09 14:02:01.211] [HWMON] CPU:  25.0% | Temp: 52.4C | Power:  4.01 W | Energia: 0.0866 Wh | Muestras: 78
[2026-09-09 14:02:02.212] [HWMON] CPU:  25.0% | Temp: 50.7C | Power:  3.99 W | Energia: 0.0877 Wh | Muestras: 79
[2026-09-09 14:02:03.212] [HWMON] CPU:  25.0% | Temp: 50.1C | Power:  3.98 W | Energia: 0.0888 Wh | Muestras: 80
[2026-09-09 14:02:04.212] [HWMON] CPU:  25.2% | Temp: 51.2C | Power:  4.00 W | Energia: 0.0899 Wh | Muestras: 81
[2026-09-09 14:02:05.213] [HWMON] CPU:  25.0% | Temp: 50.7C | Power:  3.99 W | Energia: 0.0910 Wh | Muestras: 82
[2026-09-09 14:02:06.213] [HWMON] CPU:  25.2% | Temp: 51.8C | Power:  4.01 W | Energia: 0.0921 Wh | Muestras: 83
[2026-09-09 14:02:07.214] [HWMON] CPU:  25.2% | Temp: 52.4C | Power:  4.02 W | Energia: 0.0932 Wh | Muestras: 84
[2026-09-09 14:02:08.214] [HWMON] CPU:  25.1% | Temp: 52.4C | Power:  4.01 W | Energia: 0.0943 Wh | Muestras: 85
[2026-09-09 14:02:09.214] [HWMON] CPU:  25.5% | Temp: 51.8C | Power:  4.03 W | Energia: 0.0955 Wh | Muestras: 86
[2026-09-09 14:02:10.215] [HWMON] CPU:  25.2% | Temp: 52.4C | Power:  4.02 W | Energia: 0.0966 Wh | Muestras: 87
[2026-09-09 14:02:11.215] [HWMON] CPU:  25.0% | Temp: 51.2C | Power:  3.99 W | Energia: 0.0977 Wh | Muestras: 88
[2026-09-09 14:02:12.216] [HWMON] CPU:  25.9% | Temp: 52.4C | Power:  4.06 W | Energia: 0.0988 Wh | Muestras: 89
[2026-09-09 14:02:13.216] [HWMON] CPU:  25.1% | Temp: 51.2C | Power:  4.00 W | Energia: 0.0999 Wh | Muestras: 90
[2026-09-09 14:02:14.216] [HWMON] CPU:  25.0% | Temp: 52.4C | Power:  4.01 W | Energia: 0.1010 Wh | Muestras: 91
[2026-09-09 14:02:15.217] [HWMON] CPU:  25.0% | Temp: 50.7C | Power:  3.99 W | Energia: 0.1022 Wh | Muestras: 92
[2026-09-09 14:02:16.217] [HWMON] CPU:  25.0% | Temp: 51.8C | Power:  4.00 W | Energia: 0.1033 Wh | Muestras: 93
[2026-09-09 14:02:17.218] [HWMON] CPU:  25.2% | Temp: 52.4C | Power:  4.02 W | Energia: 0.1044 Wh | Muestras: 94
[2026-09-09 14:02:18.218] [HWMON] CPU:  25.2% | Temp: 50.1C | Power:  3.99 W | Energia: 0.1055 Wh | Muestras: 95
[2026-09-09 14:02:19.218] [HWMON] CPU:  25.2% | Temp: 51.2C | Power:  4.00 W | Energia: 0.1066 Wh | Muestras: 96
[2026-09-09 14:02:20.219] [HWMON] CPU:  25.5% | Temp: 51.2C | Power:  4.02 W | Energia: 0.1077 Wh | Muestras: 97
[2026-09-09 14:02:21.219] [HWMON] CPU:  25.0% | Temp: 52.4C | Power:  4.01 W | Energia: 0.1088 Wh | Muestras: 98
[2026-09-09 14:02:22.220] [HWMON] CPU:  25.0% | Temp: 52.4C | Power:  4.01 W | Energia: 0.1100 Wh | Muestras: 99
[2026-09-09 14:02:23.220] [HWMON] CPU:  25.0% | Temp: 52.4C | Power:  4.01 W | Energia: 0.1111 Wh | Muestras: 100
[2026-09-09 14:02:24.220] [HWMON] CPU:  25.0% | Temp: 52.4C | Power:  4.01 W | Energia: 0.1122 Wh | Muestras: 101
[2026-09-09 14:02:25.221] [HWMON] CPU:  25.0% | Temp: 51.8C | Power:  4.00 W | Energia: 0.1133 Wh | Muestras: 102
[2026-09-09 14:02:26.221] [HWMON] CPU:  25.2% | Temp: 52.4C | Power:  4.02 W | Energia: 0.1144 Wh | Muestras: 103
[2026-09-09 14:02:27.222] [HWMON] CPU:  25.0% | Temp: 52.4C | Power:  4.01 W | Energia: 0.1155 Wh | Muestras: 104
[2026-09-09 14:02:28.222] [HWMON] CPU:  25.0% | Temp: 51.8C | Power:  4.00 W | Energia: 0.1166 Wh | Muestras: 105
[2026-09-09 14:02:29.222] [HWMON] CPU:  26.4% | Temp: 52.4C | Power:  4.08 W | Energia: 0.1178 Wh | Muestras: 106
[2026-09-09 14:02:30.223] [HWMON] CPU:  25.0% | Temp: 51.2C | Power:  3.99 W | Energia: 0.1189 Wh | Muestras: 107
[2026-09-09 14:02:31.223] [HWMON] CPU:  25.5% | Temp: 51.2C | Power:  4.02 W | Energia: 0.1200 Wh | Muestras: 108
